batch size,epoch,loss,acc,val_loss,val_acc,
16,0069,0.0067,0.9972,0.0395,0.9906,
16,0070,0.0064,0.9974,0.0414,0.9906,
16,0071,0.0069,0.9971,0.0388,0.991,
16,0072,0.0066,0.9971,0.0437,0.9903,
16,0073,0.0066,0.9975,0.045,0.9891,
16,0074,0.0055,0.9976,0.0483,0.9908,
16,0075,0.0057,0.9977,0.0453,0.9907,
16,0076,0.006,0.9974,0.0457,0.9901,
16,0077,0.0054,0.9975,0.0484,0.989,
16,0078,0.0059,0.9974,0.046,0.9905,
16,0079,0.0054,0.9978,0.0453,0.9905,
16,0080,0.0057,0.9976,0.0471,0.99,
16,0081,0.0055,0.9976,0.0492,0.9908,
16,0082,0.0056,0.9975,0.0478,0.9899,
16,0083,0.0058,0.9978,0.0481,0.9903,
16,0084,0.005,0.9978,0.0481,0.9906,
16,0085,0.0054,0.9977,0.0503,0.9909,
16,0086,0.0053,0.9977,0.0462,0.9902,
16,0087,0.0051,0.9979,0.0465,0.99,
16,0088,0.0052,0.9978,0.0465,0.9906,
16,0089,0.0048,0.998,0.0487,0.9909,
16,0090,0.0042,0.9983,0.0509,0.9905,
16,0091,0.0049,0.9979,0.0475,0.9906,
16,0092,0.005,0.9978,0.0486,0.9906,
16,0093,0.0047,0.998,0.0481,0.9903,
16,0094,0.0047,0.9979,0.0488,0.99,
16,0095,0.0043,0.9982,0.0504,0.9905,
16,0096,0.0043,0.9984,0.0524,0.9899,
16,0097,0.0045,0.9978,0.0498,0.9898,
16,0098,0.0049,0.998,0.0484,0.9903,
16,0099,0.0043,0.9983,0.0493,0.9906,
16,0100,0.0042,0.9983,0.0518,0.9892,
batch size,epoch,loss,acc,val_loss,val_acc,
32,0001,0.1414,0.9453,0.0644,0.9771,
32,0002,0.0554,0.9817,0.0586,0.9798,
32,0003,0.0463,0.9843,0.0502,0.9817,
32,0004,0.0388,0.9868,0.0693,0.9786,
32,0005,0.0367,0.9866,0.0535,0.9808,
32,0006,0.0335,0.9883,0.0376,0.9872,
32,0007,0.0311,0.9888,0.034,0.988,
32,0008,0.0288,0.9896,0.0314,0.9889,
32,0009,0.0279,0.9894,0.031,0.9895,
32,0010,0.0256,0.9906,0.0468,0.9825,
32,0011,0.0246,0.9911,0.0483,0.9813,
32,0012,0.024,0.9912,0.0349,0.987,
32,0013,0.0227,0.9913,0.0295,0.9901,
32,0014,0.0231,0.9916,0.028,0.9906,
32,0015,0.0215,0.9921,0.0283,0.9905,
32,0016,0.0208,0.9918,0.0266,0.9911,
32,0017,0.0202,0.9922,0.026,0.9915,
32,0018,0.0197,0.9924,0.0269,0.9913,
32,0019,0.0189,0.9925,0.0259,0.9914,
32,0020,0.0185,0.9929,0.0266,0.9907,
32,0021,0.0184,0.993,0.0261,0.9913,
32,0022,0.0178,0.9926,0.0292,0.9903,
32,0023,0.017,0.9929,0.0334,0.9884,
32,0024,0.0168,0.9932,0.0255,0.9907,
32,0025,0.0161,0.9933,0.0277,0.9906,
32,0026,0.0155,0.9933,0.0287,0.9906,
32,0027,0.0156,0.994,0.0263,0.9913,
32,0028,0.0146,0.994,0.0296,0.9911,
32,0029,0.0147,0.994,0.0312,0.9911,
32,0030,0.0143,0.994,0.0294,0.991,
32,0031,0.0141,0.9941,0.0328,0.9905,
32,0032,0.0129,0.9946,0.0313,0.9905,
32,0033,0.013,0.9947,0.0287,0.9912,
32,0034,0.0122,0.9949,0.0277,0.9908,
32,0035,0.0125,0.9945,0.0313,0.991,
32,0036,0.0115,0.9951,0.0344,0.9908,
32,0037,0.0114,0.9948,0.0323,0.991,
32,0038,0.0112,0.9952,0.0329,0.9918,
32,0039,0.0109,0.9955,0.032,0.9908,
32,0040,0.0109,0.9955,0.0361,0.991,
32,0041,0.0103,0.9959,0.0337,0.9914,
32,0042,0.0085,0.9963,0.0335,0.9916,
32,0043,0.0081,0.9967,0.034,0.9916,
32,0044,0.0075,0.9968,0.0349,0.9916,
32,0045,0.0072,0.9971,0.0359,0.9915,
32,0046,0.0073,0.9968,0.0369,0.9915,
32,0047,0.0071,0.997,0.037,0.9917,
32,0048,0.0072,0.9969,0.0369,0.9915,
32,0049,0.0066,0.9971,0.0383,0.9912,
32,0050,0.007,0.9971,0.0384,0.9914,
32,0051,0.0069,0.9969,0.0381,0.9915,
32,0052,0.0065,0.997,0.0383,0.9915,
32,0053,0.0064,0.9971,0.0387,0.9912,
32,0054,0.007,0.9972,0.0387,0.9914,
32,0055,0.0064,0.9972,0.0391,0.9915,
32,0056,0.0066,0.997,0.0391,0.9913,
32,0057,0.006,0.9974,0.0406,0.9915,
32,0058,0.0063,0.9973,0.0397,0.9914,
32,0059,0.0062,0.9973,0.0405,0.9913,
32,0060,0.0058,0.9973,0.0405,0.9915,
32,0061,0.0058,0.9977,0.0421,0.991,
32,0062,0.0058,0.9976,0.0424,0.9911,
32,0063,0.006,0.9974,0.0421,0.9912,
32,0064,0.0056,0.9974,0.0422,0.9912,
32,0065,0.0061,0.9973,0.0419,0.9912,
32,0066,0.0057,0.9975,0.0416,0.9911,
32,0067,0.0061,0.9971,0.0419,0.9913,
32,0068,0.0062,0.9973,0.042,0.9912,
32,0069,0.0058,0.9973,0.0418,0.9912,
32,0070,0.0055,0.9977,0.0421,0.9911,
32,0071,0.0058,0.9977,0.0419,0.9912,
32,0072,0.0058,0.9972,0.0422,0.9912,
32,0073,0.0054,0.9975,0.042,0.991,
32,0074,0.0057,0.9976,0.0419,0.991,
32,0075,0.0056,0.9976,0.0418,0.9912,
32,0076,0.0056,0.9976,0.0419,0.9911,
32,0077,0.0058,0.9974,0.0421,0.9913,
32,0078,0.0055,0.9973,0.0419,0.9912,
32,0079,0.0055,0.9975,0.0421,0.9911,
32,0080,0.0056,0.9976,0.0422,0.9911,
32,0081,0.0055,0.9976,0.0423,0.9911,
32,0082,0.0054,0.9977,0.0421,0.991,
32,0083,0.0051,0.9978,0.0422,0.9912,
32,0084,0.0057,0.9974,0.0423,0.9912,
32,0085,0.0054,0.9976,0.0418,0.9912,
32,0086,0.0057,0.9976,0.0419,0.9911,
32,0087,0.0059,0.9974,0.0423,0.9912,
32,0088,0.0054,0.9977,0.0422,0.991,
32,0089,0.0055,0.9976,0.0421,0.9911,
32,0090,0.0058,0.9974,0.0421,0.9912,
32,0091,0.0055,0.9978,0.0426,0.9911,
32,0092,0.0054,0.9975,0.0423,0.9912,
32,0093,0.0058,0.9975,0.0419,0.9911,
32,0094,0.0056,0.9976,0.042,0.9911,
32,0095,0.0055,0.9975,0.0422,0.991,
32,0096,0.0055,0.9977,0.0421,0.9912,
32,0097,0.0054,0.9978,0.0423,0.9912,
32,0098,0.0058,0.9973,0.0421,0.9911,
32,0099,0.0058,0.9975,0.0418,0.9911,
32,0100,0.0062,0.9973,0.0422,0.991,
