batch size,epoch,loss,acc,val_loss,val_acc,
16,0076,0.0111,0.9955,0.0296,0.992,
16,0077,0.011,0.9957,0.0295,0.9922,
16,0078,0.0107,0.9955,0.0294,0.9922,
16,0079,0.0111,0.9953,0.0297,0.9922,
16,0080,0.011,0.9954,0.0295,0.9922,
16,0081,0.0103,0.9958,0.0294,0.992,
16,0082,0.0109,0.9957,0.0296,0.9921,
16,0083,0.0109,0.9955,0.0295,0.9922,
16,0084,0.011,0.9956,0.0295,0.9922,
16,0085,0.0109,0.9955,0.0295,0.9922,
16,0086,0.0109,0.9953,0.0295,0.9921,
16,0087,0.0108,0.9954,0.0295,0.992,
16,0088,0.0107,0.9956,0.0295,0.9922,
16,0089,0.0112,0.9954,0.0295,0.9922,
16,0090,0.011,0.9952,0.0295,0.9922,
16,0091,0.0106,0.9956,0.0295,0.992,
16,0092,0.0109,0.9956,0.0296,0.9922,
16,0093,0.0105,0.9958,0.0295,0.9922,
16,0094,0.0106,0.9957,0.0294,0.9922,
16,0095,0.0105,0.9957,0.0295,0.9922,
16,0096,0.0107,0.9956,0.0296,0.9922,
16,0097,0.0109,0.9957,0.0296,0.9921,
16,0098,0.0107,0.9957,0.0295,0.9922,
16,0099,0.0107,0.9957,0.0294,0.9922,
16,0100,0.0107,0.9955,0.0295,0.992,
batch size,epoch,loss,acc,val_loss,val_acc,
32,0001,0.0363,0.9871,0.0322,0.9887,
32,0002,0.031,0.9892,0.0442,0.9865,
32,0003,0.029,0.9892,0.0328,0.9881,
32,0004,0.0269,0.9905,0.0344,0.9886,
32,0005,0.0263,0.9903,0.0281,0.99,
32,0006,0.0248,0.9905,0.0569,0.9784,
32,0007,0.0241,0.991,0.0465,0.9836,
32,0008,0.0228,0.9914,0.0328,0.9883,
32,0009,0.0226,0.9915,0.0265,0.9905,
32,0010,0.0212,0.9919,0.0286,0.9902,
32,0011,0.021,0.992,0.0298,0.9894,
32,0012,0.0209,0.9923,0.0261,0.9915,
32,0013,0.0197,0.9924,0.025,0.9912,
32,0014,0.0195,0.9927,0.0255,0.9915,
32,0015,0.019,0.9926,0.0264,0.9913,
32,0016,0.0189,0.9923,0.0315,0.9895,
32,0017,0.0181,0.9932,0.0286,0.9907,
32,0018,0.018,0.9931,0.0267,0.9907,
32,0019,0.0177,0.993,0.0268,0.9916,
32,0020,0.0169,0.9932,0.0255,0.9915,
32,0021,0.0167,0.9936,0.0278,0.9903,
32,0022,0.0165,0.9932,0.0262,0.9919,
32,0023,0.0156,0.9937,0.0262,0.9916,
32,0024,0.0158,0.994,0.0281,0.9913,
32,0025,0.0157,0.9934,0.0278,0.9916,
32,0026,0.0153,0.994,0.0276,0.9913,
32,0027,0.0152,0.9942,0.0266,0.9913,
32,0028,0.0148,0.9941,0.0259,0.9918,
32,0029,0.0143,0.9943,0.0283,0.9912,
32,0030,0.0141,0.9946,0.0269,0.9916,
32,0031,0.0145,0.9941,0.029,0.9914,
32,0032,0.0141,0.9944,0.0267,0.9915,
32,0033,0.014,0.9942,0.03,0.9914,
32,0034,0.0134,0.9945,0.0277,0.9918,
32,0035,0.0132,0.9949,0.0274,0.9915,
32,0036,0.0131,0.9946,0.0271,0.9918,
32,0037,0.0133,0.9946,0.0281,0.9915,
32,0038,0.0124,0.9952,0.0293,0.9912,
32,0039,0.0127,0.9948,0.0297,0.9914,
32,0040,0.0123,0.9951,0.0299,0.9913,
32,0041,0.0122,0.9952,0.0295,0.9915,
32,0042,0.0109,0.9956,0.0295,0.9918,
32,0043,0.0108,0.9957,0.0294,0.9921,
32,0044,0.0101,0.9957,0.0297,0.9919,
32,0045,0.01,0.9958,0.03,0.9919,
32,0046,0.0102,0.9959,0.0302,0.9919,
32,0047,0.0102,0.9957,0.0304,0.9919,
32,0048,0.0101,0.9957,0.0303,0.9922,
32,0049,0.01,0.996,0.0306,0.9922,
32,0050,0.0098,0.9958,0.0306,0.9922,
32,0051,0.0099,0.996,0.0308,0.9921,
32,0052,0.0098,0.9958,0.0315,0.9921,
32,0053,0.0102,0.9958,0.0313,0.9919,
32,0054,0.0095,0.9962,0.0315,0.992,
32,0055,0.0097,0.9961,0.0317,0.9917,
32,0056,0.0095,0.996,0.0315,0.992,
32,0057,0.0093,0.9962,0.0318,0.992,
32,0058,0.0098,0.996,0.0317,0.992,
32,0059,0.0095,0.996,0.032,0.9921,
32,0060,0.0094,0.9963,0.0323,0.992,
32,0061,0.0095,0.9959,0.0319,0.9919,
32,0062,0.0094,0.9963,0.0319,0.992,
32,0063,0.0092,0.996,0.0318,0.9919,
32,0064,0.0093,0.996,0.032,0.992,
32,0065,0.0093,0.9965,0.032,0.9921,
32,0066,0.009,0.9961,0.032,0.9921,
32,0067,0.009,0.9963,0.0322,0.9919,
32,0068,0.0094,0.9961,0.032,0.992,
32,0069,0.0097,0.9959,0.0321,0.992,
32,0070,0.0095,0.996,0.0321,0.9921,
32,0071,0.0093,0.9962,0.0321,0.9921,
