batch size,epoch,loss,acc,val_loss,val_acc,
2,0084,7.9636,0.5059,7.9632,0.5059,
2,0085,7.9634,0.5059,7.9632,0.5059,
2,0086,7.9634,0.5059,7.9632,0.5059,
2,0087,7.9634,0.5059,7.9632,0.5059,
2,0088,7.9636,0.5059,7.9632,0.5059,
2,0089,7.9636,0.5059,7.9632,0.5059,
2,0090,7.9636,0.5059,7.9632,0.5059,
2,0091,7.9634,0.5059,7.9632,0.5059,
2,0092,7.9634,0.5059,7.9632,0.5059,
2,0093,7.9636,0.5059,7.9632,0.5059,
2,0094,7.9636,0.5059,7.9632,0.5059,
2,0095,7.9634,0.5059,7.9632,0.5059,
2,0096,7.9634,0.5059,7.9632,0.5059,
2,0097,7.9634,0.5059,7.9632,0.5059,
2,0098,7.9634,0.5059,7.9632,0.5059,
2,0099,7.9636,0.5059,7.9632,0.5059,
2,0100,7.9636,0.5059,7.9632,0.5059,
batch size,epoch,loss,acc,val_loss,val_acc,
4,0001,0.311,0.856,0.1511,0.9451,
4,0002,0.0661,0.978,0.0499,0.9811,
4,0003,0.0464,0.9842,0.0444,0.9836,
4,0004,0.0401,0.9863,0.0378,0.9866,
4,0005,0.0358,0.9877,0.0441,0.9845,
4,0006,0.0337,0.9884,0.0381,0.9869,
4,0007,0.0321,0.9888,0.0324,0.989,
4,0008,0.0304,0.9892,0.0294,0.9901,
4,0009,0.0293,0.9896,0.0313,0.9902,
4,0010,0.0282,0.9896,0.0312,0.9886,
4,0011,0.0272,0.9904,0.0291,0.9893,
4,0012,0.0265,0.9906,0.0381,0.9862,
4,0013,0.026,0.9905,0.0303,0.9895,
4,0014,0.0253,0.9911,0.033,0.9889,
4,0015,0.025,0.9913,0.0293,0.9902,
4,0016,0.0248,0.9909,0.0293,0.9905,
4,0017,0.024,0.9913,0.0296,0.9899,
4,0018,0.0245,0.9911,0.0288,0.9895,
4,0019,0.0232,0.9915,0.0364,0.9883,
4,0020,0.0229,0.9919,0.031,0.989,
4,0021,0.0229,0.9915,0.0282,0.99,
4,0022,0.0227,0.9914,0.0291,0.9888,
4,0023,0.0225,0.9917,0.0274,0.9906,
4,0024,0.0225,0.9916,0.0276,0.9908,
4,0025,0.0224,0.9918,0.0266,0.9909,
4,0026,0.0217,0.992,0.0282,0.99,
4,0027,0.0216,0.9921,0.0301,0.9901,
4,0028,0.0215,0.9921,0.0272,0.9905,
4,0029,0.0217,0.9918,0.0268,0.9911,
4,0030,0.0211,0.9919,0.0269,0.9912,
4,0031,0.0212,0.9922,0.027,0.9908,
4,0032,0.0206,0.992,0.0283,0.9905,
4,0033,0.0206,0.992,0.0314,0.9893,
4,0034,0.0205,0.9924,0.0285,0.9899,
4,0035,0.0205,0.9924,0.029,0.9906,
4,0036,0.0203,0.9924,0.0264,0.9902,
4,0037,0.0201,0.9921,0.027,0.9903,
4,0038,0.0205,0.9922,0.0263,0.9908,
4,0039,0.0195,0.9923,0.0303,0.9905,
4,0040,0.0197,0.9923,0.0281,0.9906,
4,0041,0.0196,0.9925,0.0281,0.9905,
4,0042,0.0186,0.9931,0.0271,0.9912,
4,0043,0.0186,0.993,0.0266,0.9913,
4,0044,0.0184,0.993,0.0269,0.9915,
4,0045,0.0191,0.9929,0.0269,0.9915,
4,0046,0.0187,0.9928,0.0265,0.9911,
4,0047,0.0179,0.9932,0.0268,0.9912,
4,0048,0.0186,0.9931,0.0274,0.9914,
4,0049,0.0183,0.993,0.027,0.9911,
